,ship mode,segment,state,region,category,sub-category,sales,quantity,discount,profit,unit price,profit margin,is discounted,profit per item,is profited,city tier
0,second ,consumer,kentucky,south,furniture,bookcases,261.96,2,0.0,41.91,130.98,16.0,0,20.95,1,1
1,second ,consumer,kentucky,south,furniture,chairs,731.94,3,0.0,219.58,243.98000000000002,30.0,0,73.19,1,1
2,second ,corporate,california,west,office supplies,labels,14.62,2,0.0,6.87,7.31,46.99,0,3.44,1,1
3,standard ,consumer,florida,south,furniture,tables,957.58,5,45.0,-383.03,191.51600000000002,-40.0,1,-76.61,0,1
4,standard ,consumer,florida,south,office supplies,storage,22.37,2,20.0,2.52,11.185,11.27,1,1.26,1,1
5,standard ,consumer,california,west,furniture,furnishings,48.86,7,0.0,14.17,6.9799999999999995,29.0,0,2.02,1,1
6,standard ,consumer,california,west,office supplies,art,7.28,4,0.0,1.97,1.82,27.06,0,0.49,1,1
7,standard ,consumer,california,west,technology,phones,907.15,6,20.0,90.72,151.19166666666666,10.0,1,15.12,1,1
8,standard ,consumer,california,west,office supplies,binders,18.5,3,20.0,5.78,6.166666666666667,31.24,1,1.93,1,1
9,standard ,consumer,california,west,office supplies,appliances,114.9,5,0.0,34.47,22.98,30.0,0,6.89,1,1
10,standard ,consumer,california,west,furniture,tables,1706.18,9,20.0,85.31,189.57555555555555,5.0,1,9.48,1,1
11,standard ,consumer,california,west,technology,phones,911.42,4,20.0,68.36,227.855,7.5,1,17.09,1,1
12,standard ,consumer,north carolina,south,office supplies,paper,15.55,3,20.0,5.44,5.183333333333334,34.98,1,1.81,1,1
13,standard ,consumer,washington,west,office supplies,binders,407.98,3,20.0,132.59,135.99333333333334,32.5,1,44.2,1,1
14,standard ,home office,texas,central,office supplies,appliances,68.81,5,80.0,-123.86,13.762,-180.0,1,-24.77,0,1
15,standard ,home office,texas,central,office supplies,binders,2.54,3,80.0,-3.82,0.8466666666666667,-150.39,1,-1.27,0,1
16,standard ,consumer,wisconsin,central,office supplies,storage,665.88,6,0.0,13.32,110.98,2.0,0,2.22,1,1
17,second ,consumer,utah,west,office supplies,storage,55.5,2,0.0,9.99,27.75,18.0,0,5.0,1,4
18,second ,consumer,california,west,office supplies,art,8.56,2,0.0,2.48,4.28,28.97,0,1.24,1,1
19,second ,consumer,california,west,technology,phones,213.48,3,20.0,16.01,71.16,7.5,1,5.34,1,1
20,second ,consumer,california,west,office supplies,binders,22.72,4,20.0,7.38,5.68,32.48,1,1.84,1,1
21,standard ,corporate,nebraska,central,office supplies,art,19.46,7,0.0,5.06,2.7800000000000002,26.0,0,0.72,1,3
22,standard ,corporate,nebraska,central,office supplies,appliances,60.34,7,0.0,15.69,8.620000000000001,26.0,0,2.24,1,3
23,second ,consumer,pennsylvania,east,furniture,chairs,71.37,2,30.0,-1.02,35.685,-1.43,1,-0.51,0,1
24,standard ,consumer,utah,west,furniture,tables,1044.63,3,0.0,240.26,348.21000000000004,23.0,0,80.09,1,2
25,second ,consumer,california,west,office supplies,binders,11.65,2,20.0,4.22,5.825,36.22,1,2.11,1,1
26,second ,consumer,california,west,technology,accessories,90.57,3,0.0,11.77,30.189999999999998,13.0,0,3.92,1,1
27,standard ,consumer,pennsylvania,east,furniture,bookcases,3083.43,7,50.0,-1665.05,440.48999999999995,-54.0,1,-237.86,0,1
28,standard ,consumer,pennsylvania,east,office supplies,binders,9.62,2,70.0,-7.05,4.81,-73.28,1,-3.52,0,1
29,standard ,consumer,pennsylvania,east,furniture,furnishings,124.2,3,20.0,15.52,41.4,12.5,1,5.17,1,1
30,standard ,consumer,pennsylvania,east,office supplies,envelopes,3.26,2,20.0,1.1,1.63,33.74,1,0.55,1,1
31,standard ,consumer,pennsylvania,east,office supplies,art,86.3,6,20.0,9.71,14.383333333333333,11.25,1,1.62,1,1
